Identifier,Competency questions/ Natural language sentence (fact),Answer,LSP associated,Ontology
req93,A zone and an adjacent zone share an interface,,LSP-OP-EN,http://www.w3id.org/bot#
req94,A zone and an adjacent element share an interface,,LSP-OP-EN,http://www.w3id.org/bot#
req95,An element and an adjacent element share an interface,,LSP-OP-EN,http://www.w3id.org/bot#
req96,What is the username of the player?,"Japskua, TheGuy47",LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req97,Who are the friends of the player?,"Ivanhoe444, Super1337",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req98,Who are the friends that play other games as well with this player?,"Japskua, C00LDud3",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req99,Who are the most active players in the game?,"Michael98, Justin Bieber",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req100,What are the achievements of my friends?,"Cool Guy,Mr. Guru",LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req101,Who does the player play with?,"Nobody, ArnoldTheHunkz",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req102,What are the achievements your friend has received?,"Guru, Kill’Em’All",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req103,What achievements does a game have?,"Unlock me!, You Rock",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req104,How many hours has this game been played in total?,50 000 hours,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req105,What are the types of achievements in this game?,"Skill­based, Veteran, Luck",LSP-INST-SC-EN,http://purl.org/net/VideoGameOntology#
req106,What are the types of achievements a game can have?,"Skill­based, Veteran, Luck",LSP-INST-SC-EN,http://purl.org/net/VideoGameOntology#
req107,What is the genre of the game?,"RPG, Adventure, Puzzle",LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req108,What items exist in a game?,"Magical Staff, Ferrari",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req109,Who is the creator of the game?,"Electronic Arts, Janne Parkkila",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req110,What is the release date of the game?,38486,LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req111,What are the games similar to this one?,"Hitman 1, Hitman 2, MassEffect 2",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req112,List all games of a certain Genre?,"NHL12, Fifa13, NBA10",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req113,What type is the item of?,Consumable Equipable,LSP-INST-SC-EN,http://purl.org/net/VideoGameOntology#
req114,What abilities does an item have?,"Magic, Equipable, Damage­dealing",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req115,9. What is the fastest car in the game?,"Ferrari, Audi A8",LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req116,How much damage does a weapon deal?,"57, A lot",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req117,Who has the best kill count in the game?,Gamer47,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req118,Who are the top 3 players in the game?,1. Gamer47 ­ 2. MeMee ­ 3. MrUber,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req119,What games has the player played?,"“World of Warcraft”, “Final Fantasy VII”, “Clash of
Clans”",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req120,What items does the player have?,"“Sword of Steel”, “Magic Potion”, “Mage’s Hat”",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req121,What achievements of a certain type does the player have?,"“Speedy Runner”, “Jumping Hero”, “Rolling Master”",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req122,What kind of games are owned by players that have certain achievement?,"NHL12, WoW, Space Invaders",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req123,What is the last game a player has played?,Hitman 2,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req124,How big percentage of players have a certain item in the game?,"23%, 87%",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req125,What are the most common genres played by players with a certain character class in a game?,"RPG, Sports, Simulators",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req126,What is the preferred weapon of players with a certain character class?,"Shuriken, Buster Sword, AK­47",LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req127,What type of weapon are players using who win mostly in the game?,"Ak­47, Longsword, Crossbow",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req128,When was the last time a certain player played this game?,36392,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req129,In how many games does the player have all the achievements?,"2, 0, 67",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req130,What is the favorite map of the player in the game?,"de_dust, cs_italy",LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req131,What is the most played map in a game?,RunRun,LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req132,What is the difficulty level the player uses in certain game genres?,Easy,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req133,How many times have I killed someone in a game?,4,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req134,How many goals did I score in FIFA 15?,0,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req135,What is the most common level in the game where players stop playing?,"Level 4, Level 7, Le Mans ­track",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req136,How big percentage of players have made a certain decision in the game?,"24%, 6%",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req137,How big percentage of players skip the cutscenes?,"0,99",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req138,How many players mute the game music?,"100%, 50 000",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req139,"After gaining an item in the game, how many players use it?","100, 5, None",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req140,How many times players have died in a level?,"50, 600 000",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req141,How big percentage of players use the item in question in other linked games?,"2%, 55%",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req142,"How many players have moved from game to another when they have seen a linked
commercial?","40 000, 100 million",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req143,What is the first action done by the player after an event?,"Save game, Drink health
potion, Change equipment",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req144,What is the location in map where the players die the most?,"X:47, Y:58, Z:60 [level
coordinates]",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req145,What equipment does a player have in a game?,"Sword of Zelda, Dagger of Ice",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req146,What consumable items does a player have in game?,"Health Potion, Potion of Mana,
Cookie",LSP-OP-DP-PW-EN,http://purl.org/net/VideoGameOntology#
req147,What is the most used item in the game?,Baseball bat,LSP-OP-DP-EN,http://purl.org/net/VideoGameOntology#
req148,What are the games where a player can use this item?,"Sam & Max, Space Quest",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req149,How many players have made in­app purchases?,"5 000, 8%",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req150,"How many players who have already spent money in this game, spend money again?","0,03",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req151,"What is the likelihood that a player who has purchased in­app purchase in one game, do
so in the other one?","47%, 99%, 0.5%",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req152,"If a player is given free item in the game, how likely are they to make an in­app purchase?","0,85",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req153,What type of items are the most traded ones in the game’s marketplace?,"“Health potions”, “Consumable Items”, “Cute Cakes”",LSP-INST-SC-EN,http://purl.org/net/VideoGameOntology#
req154,How much money an average player spends in in­app purchases?,"56 €, 98 USD",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req155,What time are most of the in­app purchases done?,"“Evening”, between 19­22 GMT",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req156,Where do the most paying customers live in?,"“London”, Singapore, Paris",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req157,How long does an average player spend in the game before making first in-­app purchase?,"1 hour, 87 minutes, 2 weeks",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req158,Where do the players live who have not made any in­-app purchases?,"“Brazil”, “South Europe”",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req159,Where do the players who have done the most in­-app purchases live?,"“Zimbabwe”, “Nairobi”, “South America”",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req160,How many players clicked an ingame advertisement?,50000,LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req161,How many players start the other game after seeing an advertisement?,"24, 600",LSP-OP-EN,http://purl.org/net/VideoGameOntology#
req162,What is a thing in the web thing context?,"The abstract concept of a physical entity that can either be a real-world artieact, such as a device, or a virtual entity that represents physicality, such as a room or group of devices",LSP-CD-EN,http://iot.linkeddata.es/def/wot#
req162,What is a thing in the web thing context?,"The abstract concept of a physical entity that can either be a real-world artieact, such as a device, or a virtual entity that represents physicality, such as a room or group of devices",LSP-SC-EN,http://iot.linkeddata.es/def/wot#
req163,What is a servient?,The addressable application endpoint of a Thing that makes it interactive by providing a WoT Interface and means to execute application logic,LSP-CD-EN,http://iot.linkeddata.es/def/wot#
req164,What is a repository?,"A registry for Thing Descriptions that provides a Web interface to register Thing Descriptions and look them up, for intance using SPARQL queries",LSP-CD-EN,http://iot.linkeddata.es/def/wot#
req165,"Things in the WoT architecture are represented by servients,",,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req166,Servient can represent virtual things as well.,,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req167,"Servients are hosted anywhere, a smartphone, local gateway, or the cloud.",,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req168,Servient communicate to each other through a WoT interface,,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req169,Servient can have cliente or server roles or both.,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot#
req170,Thing Descriptions can be registered in Td repositories.,,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req171,What is a property?,"A property provides readable and/or writeable data that can be static (e.g., supported mode, rated output voltage, etc.) or dynamic (e.g., current fill level of water, minimum recorded temperature, etc.). (From wg documentation)",LSP-CD-EN,http://iot.linkeddata.es/def/wot#
req172,What is an action?,"The Action interaction pattern targets changes or processes on a Thing that take a certain time to complete (i.e., actions cannot be applied instantaneously like property writes).",LSP-CD-EN,http://iot.linkeddata.es/def/wot#
req173,What is an event?,The Event interaction pattern enables a mechanism to be notified by a Thing on a certain condition.,LSP-CD-EN,http://iot.linkeddata.es/def/wot#
req174,A thing interaction can be available over different or multiple protocols,,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req175,What is a protocol?,Any web protocol that is supported by WoT interfaces.,LSP-CD-EN,http://iot.linkeddata.es/def/wot#
req176,Each thing has at least an interaction pattern,,LSP-OP-Min-EN,http://iot.linkeddata.es/def/wot#
req177,An interaction pattern can have different endpoints,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot#
req178,Each interaction pattern has its own attributes,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot#
req179,Each interaction pattern has an endpoint,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot#
req180,Each endpoints has minimun two attributes: URI and mediatype,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot#
req181,Security is associated with things,,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req182,An endpoint can be associated with a thing without determine the interaction patterns,,LSP-OP-EN,http://iot.linkeddata.es/def/wot#
req183,Each interaction pattern has a name and a Web Resource address,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot#
req184,An interaction has a type and attributes,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot#
req185,Each interaction pattern can be readable or writable through an endpoint,,LSP-DP-EN,http://iot.linkeddata.es/def/wot#
req186,A TED describes one or more web thing,,LSP-OP-Min-EN,http://iot.linkeddata.es/def/wot-mappings#
req187,A TED refers to a service accesible in an URI,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req188,A Thing ecosystem describes relations between TEDs,,LSP-SYM-EN,http://iot.linkeddata.es/def/wot-mappings#
req189,A thing description  can have access mappings defined,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req190,An access mapping defines the transformation to be carried out for a specific key,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req191,An access mapping can have many mappings defined,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req192,A mapping can transform keys to object properties or datatype properties.,,LSP-U-EN,http://iot.linkeddata.es/def/wot-mappings#
req193,An object property mapping transforms keys to object properties,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req194,A datatype property mapping transforms keys to datatype properties,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req195,An object property mapping can have many target classes to be the type of the generated instances,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req196,A datatype property mapping can have many target (consistent) datatypes to be the datatype of the generated values,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req197,An object property mapping generate instances transforming values following the mappings defined in a another thing description.,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req198,A mapping might be needed to be executed befor another mapping,,LSP-OP-EN,http://iot.linkeddata.es/def/wot-mappings#
req199,A mapping has a JSON path,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/wot-mappings#
req200,An access mapping can be applied at most to one endpoint,,LSP-OP-Max-EN,http://iot.linkeddata.es/def/wot-mappings#
req201,What is an IoT device?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req202,What is a partnership?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req203,What attributes has a partnership?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req204,Which are the relationships a partnership is involved in ?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req205,How many organizations can have a partnership?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req206,What is the relation between organization and devices?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req207,What is an IoT infrastructre?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req208,Who is the owner of a given device?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req209,A device has a unique identifier,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req210,Which attributes can have a device?,"A name, an avatar, group membership, etc.",LSP-DP-EN,http://iot.linkeddata.es/def/core#
req211,What is a device profile?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req212,A device can have a status,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req213,A device can have a location,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req214,Which are the social relationships a device can be involved in?,ownership,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req215,Which roles are involved in a ownership relationship?,"devices, services and agents",LSP-OP-EN,http://iot.linkeddata.es/def/core#
req216,Which roles are involved in a partnership relationship?,organizations,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req217,What is a user?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req218,Who is a service provider?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req219,What are the parameters that has a service?,"owner, avatar, description, name",LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req220,What is a service logical name?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req221,Which devices are there?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req222,What are the devices of a given agent or organization?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req223,Which devices can I see?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req224,Which services can I see?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req225,What are the devices of a specific partner?,,LSP-OP-DP-EN,http://iot.linkeddata.es/def/core#
req226,What are the services of a specific partner?,,LSP-OP-DP-EN,http://iot.linkeddata.es/def/core#
req227,Which is the profile of a given device?,,LSP-OP-DP-EN,http://iot.linkeddata.es/def/core#
req228,A device profile indicates the device name,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req229,A device profile indicates the device avatar,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req230,"A device profile indicates the type of device, e.g: sensor or actuator",,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req231,A device profile indicates the device vendor,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req232,A device profile indicates the device serial number,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req233,A service profile indicates the service name,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req234,A service profile indicates the service avatar,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req235,A service profile indicates the service owner,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req236,A service profile indicates the service provider,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req237,A service profile indicates the service description (in text),,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req238,A service profile indicates the service type,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req239,A partnership is established between organizations,,LSP-SYM-EN,http://iot.linkeddata.es/def/core#
req240,A partnership is established between only 2 organizations,,LSP-SYM-EN,http://iot.linkeddata.es/def/core#
req241,A neighbourhood is the group of partnerships you have,,LSP-DC-SC-EN,http://iot.linkeddata.es/def/core#
req242,An organization has users,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req243,One of the users of an organization is the manager,,LSP-DC-SC-EN,http://iot.linkeddata.es/def/core#
req244,Users has to belong to one organization,,LSP-OP-Exact-EN,http://iot.linkeddata.es/def/core#
req245,All organizations have the same roles in a partnership,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req246,Users can have different roles in the organization,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req247,user can create a group of services/devices,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req248,The security can be set up at a group level,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req249,Authorization can be set up at the level of properties/actions,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req250,What is a building?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req251,Where is something located?,,LSP-LO-EN,http://iot.linkeddata.es/def/core#
req252,Which devices measure temperature?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req253,Which devices measure CO2?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req254,Which devices measure noise?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
